Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Norfolk,7 (3 -- 15),Decreasing,0.71 (0.51 -- 1),-0.084 (-0.15 -- -0.0013),-8.2 (-520 -- -4.7)
North Ayrshire,3 (1 -- 9),Decreasing,0.81 (0.52 -- 0.99),-0.055 (-0.14 -- -0.0019),-13 (-360 -- -4.8)
North East Lincolnshire,6 (3 -- 11),Likely decreasing,0.83 (0.66 -- 1),-0.049 (-0.098 -- 0.0064),-14 (110 -- -7.1)
North Lanarkshire,30 (12 -- 59),Likely decreasing,0.89 (0.64 -- 1.1),-0.03 (-0.1 -- 0.022),-23 (32 -- -6.6)
North Lincolnshire,11 (5 -- 28),Likely decreasing,0.86 (0.65 -- 1.3),-0.039 (-0.1 -- 0.08),-18 (8.7 -- -6.9)
North Somerset,2 (1 -- 6),Likely decreasing,0.86 (0.65 -- 1.2),-0.038 (-0.1 -- 0.044),-18 (16 -- -6.7)
North Tyneside,8 (5 -- 13),Likely decreasing,0.91 (0.78 -- 1),-0.026 (-0.061 -- 0.0094),-27 (74 -- -11)
North Yorkshire,14 (6 -- 36),Likely decreasing,0.9 (0.63 -- 1.4),-0.029 (-0.11 -- 0.094),-24 (7.4 -- -6.4)
Northamptonshire,37 (19 -- 78),Likely decreasing,0.89 (0.66 -- 1.3),-0.031 (-0.098 -- 0.069),-22 (10 -- -7)
Northumberland,7 (3 -- 12),Likely decreasing,0.83 (0.63 -- 1),-0.049 (-0.11 -- 0.013),-14 (54 -- -6.5)
Nottingham,7 (3 -- 14),Likely decreasing,0.78 (0.57 -- 1.1),-0.064 (-0.13 -- 0.017),-11 (41 -- -5.5)
Nottinghamshire,22 (12 -- 42),Likely decreasing,0.79 (0.6 -- 1.1),-0.059 (-0.12 -- 0.02),-12 (34 -- -5.9)
Oldham,12 (6 -- 27),Likely decreasing,0.84 (0.62 -- 1.2),-0.044 (-0.11 -- 0.057),-16 (12 -- -6.2)
Orkney Islands,0 (0 -- 0),Likely decreasing,0.66 (0.15 -- 1.5),-0.099 (-0.28 -- 0.13),-7 (5.5 -- -2.4)
Oxfordshire,10 (4 -- 22),Likely decreasing,0.73 (0.48 -- 1),-0.077 (-0.16 -- 0.0095),-9 (73 -- -4.4)
Pembrokeshire,2 (0 -- 5),Likely decreasing,0.92 (0.68 -- 1.1),-0.022 (-0.093 -- 0.037),-32 (18 -- -7.5)
Perth and Kinross,5 (1 -- 12),Likely decreasing,0.91 (0.62 -- 1.1),-0.025 (-0.11 -- 0.025),-28 (27 -- -6.3)
Peterborough,14 (9 -- 21),Likely decreasing,0.9 (0.78 -- 1),-0.027 (-0.061 -- 0.0093),-25 (74 -- -11)
Plymouth,0 (0 -- 2),Decreasing,0.49 (0.24 -- 0.89),-0.15 (-0.25 -- -0.032),-4.6 (-22 -- -2.8)
Portsmouth,2 (1 -- 5),Decreasing,0.81 (0.62 -- 0.99),-0.055 (-0.11 -- -0.0038),-13 (-180 -- -6.2)
Powys,1 (0 -- 4),Likely decreasing,0.89 (0.75 -- 1.3),-0.03 (-0.07 -- 0.067),-23 (10 -- -9.9)
Reading,6 (2 -- 14),Stable,0.98 (0.76 -- 1.4),-0.0047 (-0.069 -- 0.096),-150 (7.2 -- -10)
Redbridge,9 (4 -- 18),Likely decreasing,0.88 (0.68 -- 1.2),-0.034 (-0.094 -- 0.047),-21 (15 -- -7.4)
Redcar and Cleveland,2 (0 -- 5),Likely decreasing,0.82 (0.58 -- 1.2),-0.05 (-0.12 -- 0.044),-14 (16 -- -5.6)
Renfrewshire,15 (7 -- 33),Likely decreasing,0.94 (0.74 -- 1.2),-0.018 (-0.076 -- 0.043),-39 (16 -- -9.1)
Rhondda Cynon Taf,6 (3 -- 15),Stable,0.99 (0.86 -- 1.3),-0.0037 (-0.04 -- 0.074),-190 (9.4 -- -17)
Richmond upon Thames,4 (2 -- 7),Likely decreasing,0.87 (0.66 -- 1.1),-0.035 (-0.1 -- 0.017),-20 (40 -- -6.9)
Rochdale,12 (7 -- 20),Likely decreasing,0.85 (0.68 -- 1),-0.042 (-0.093 -- 0.0077),-17 (90 -- -7.5)
Rotherham,19 (11 -- 32),Likely decreasing,0.84 (0.67 -- 1),-0.045 (-0.095 -- 0.012),-16 (58 -- -7.3)
Rutland,1 (0 -- 4),Likely decreasing,0.85 (0.45 -- 1.3),-0.042 (-0.17 -- 0.075),-17 (9.3 -- -4.2)
Salford,8 (4 -- 20),Likely decreasing,0.83 (0.61 -- 1.2),-0.049 (-0.12 -- 0.061),-14 (11 -- -6)
Sandwell,13 (6 -- 37),Likely decreasing,0.87 (0.61 -- 1.4),-0.036 (-0.11 -- 0.11),-19 (6.2 -- -6)
Scottish Borders,0 (0 -- 1),Likely decreasing,0.83 (0.55 -- 1.2),-0.049 (-0.13 -- 0.042),-14 (17 -- -5.2)
Sefton,7 (2 -- 25),Stable,0.97 (0.55 -- 1.7),-0.0079 (-0.13 -- 0.19),-87 (3.7 -- -5.2)
Sheffield,33 (17 -- 72),Likely decreasing,0.82 (0.6 -- 1.2),-0.051 (-0.12 -- 0.057),-14 (12 -- -5.9)
Shetland Islands,0 (0 -- 0),Likely decreasing,0.18 (0.0076 -- 1.1),-0.27 (-0.38 -- 0.025),-2.5 (28 -- -1.8)
Shropshire,1 (0 -- 4),Likely decreasing,0.65 (0.35 -- 1.1),-0.1 (-0.2 -- 0.023),-6.7 (30 -- -3.4)
Slough,14 (7 -- 25),Stable,0.98 (0.77 -- 1.2),-0.0066 (-0.066 -- 0.063),-100 (11 -- -11)
Solihull,6 (2 -- 18),Likely decreasing,0.9 (0.61 -- 1.5),-0.028 (-0.12 -- 0.12),-24 (5.8 -- -6)
Somerset,5 (2 -- 9),Decreasing,0.69 (0.49 -- 0.89),-0.09 (-0.15 -- -0.03),-7.7 (-23 -- -4.5)
South Ayrshire,1 (0 -- 12),Likely decreasing,0.81 (0.47 -- 1.9),-0.055 (-0.16 -- 0.23),-13 (3 -- -4.3)
South Gloucestershire,6 (2 -- 18),Likely decreasing,0.92 (0.65 -- 1.4),-0.022 (-0.1 -- 0.11),-32 (6.6 -- -6.8)
South Lanarkshire,16 (9 -- 28),Likely decreasing,0.91 (0.77 -- 1.1),-0.024 (-0.067 -- 0.019),-28 (37 -- -10)
South Tyneside,0 (0 -- 1),Decreasing,0.57 (0.32 -- 0.82),-0.13 (-0.21 -- -0.051),-5.4 (-14 -- -3.3)
Southampton,16 (8 -- 39),Stable,0.96 (0.72 -- 1.4),-0.0098 (-0.082 -- 0.1),-71 (6.7 -- -8.5)
Southend-on-Sea,4 (2 -- 9),Likely decreasing,0.87 (0.63 -- 1.1),-0.037 (-0.11 -- 0.016),-19 (43 -- -6.5)
Southwark,1 (0 -- 3),Decreasing,0.71 (0.47 -- 0.97),-0.084 (-0.16 -- -0.0079),-8.2 (-87 -- -4.3)
St. Helens,6 (2 -- 29),Stable,1 (0.66 -- 2),0.0028 (-0.1 -- 0.24),250 (2.9 -- -7)
Staffordshire,13 (7 -- 35),Likely decreasing,0.82 (0.62 -- 1.3),-0.051 (-0.11 -- 0.074),-14 (9.4 -- -6.2)
Stirling,5 (2 -- 13),Likely decreasing,0.92 (0.78 -- 1.2),-0.022 (-0.063 -- 0.058),-32 (12 -- -11)
Stockport,10 (5 -- 20),Likely decreasing,0.84 (0.63 -- 1.1),-0.045 (-0.11 -- 0.028),-15 (25 -- -6.3)
Stockton-on-Tees,2 (0 -- 6),Decreasing,0.55 (0.33 -- 0.79),-0.13 (-0.21 -- -0.061),-5.1 (-11 -- -3.3)
Stoke-on-Trent,15 (9 -- 25),Likely decreasing,0.92 (0.77 -- 1.1),-0.022 (-0.066 -- 0.028),-31 (24 -- -10)
Suffolk,12 (6 -- 25),Likely decreasing,0.83 (0.61 -- 1.1),-0.049 (-0.12 -- 0.03),-14 (23 -- -6)
Sunderland,6 (2 -- 15),Likely decreasing,0.8 (0.56 -- 1.2),-0.057 (-0.13 -- 0.049),-12 (14 -- -5.3)
Surrey,12 (6 -- 23),Likely decreasing,0.79 (0.61 -- 1),-0.059 (-0.11 -- 0.0098),-12 (71 -- -6.1)
Sutton,2 (1 -- 4),Decreasing,0.8 (0.6 -- 1),-0.058 (-0.12 -- 0.00053),-12 (1300 -- -6)
Swansea,12 (5 -- 25),Likely decreasing,0.93 (0.7 -- 1.1),-0.019 (-0.088 -- 0.038),-37 (18 -- -7.9)
Swindon,4 (1 -- 11),Likely decreasing,0.72 (0.45 -- 1.1),-0.079 (-0.17 -- 0.028),-8.7 (25 -- -4.1)
Tameside,5 (2 -- 15),Likely decreasing,0.73 (0.49 -- 1.1),-0.079 (-0.15 -- 0.037),-8.8 (19 -- -4.5)
Telford and Wrekin,4 (1 -- 20),Stable,1 (0.54 -- 1.9),0.00023 (-0.13 -- 0.22),3000 (3.2 -- -5.2)
Thurrock,3 (1 -- 8),Likely decreasing,0.89 (0.68 -- 1.2),-0.03 (-0.092 -- 0.062),-23 (11 -- -7.5)
Torbay,2 (1 -- 7),Stable,0.98 (0.71 -- 1.4),-0.0055 (-0.083 -- 0.095),-120 (7.3 -- -8.4)
Torfaen,1 (0 -- 2),Decreasing,0.86 (0.79 -- 1),-0.038 (-0.061 -- 5.6e-06),-18 (120000 -- -11)
Tower Hamlets,8 (4 -- 17),Likely decreasing,0.91 (0.69 -- 1.2),-0.025 (-0.09 -- 0.055),-28 (13 -- -7.7)
Trafford,5 (2 -- 13),Likely decreasing,0.75 (0.48 -- 1.1),-0.073 (-0.16 -- 0.017),-9.5 (40 -- -4.4)
Vale of Glamorgan,2 (1 -- 4),Likely decreasing,0.88 (0.72 -- 1),-0.034 (-0.081 -- 0.01),-20 (69 -- -8.5)
Wakefield,30 (17 -- 44),Decreasing,0.87 (0.71 -- 0.98),-0.035 (-0.083 -- -0.0048),-20 (-140 -- -8.4)
Walsall,10 (5 -- 20),Likely decreasing,0.81 (0.59 -- 1.1),-0.055 (-0.12 -- 0.016),-13 (43 -- -5.7)
Waltham Forest,5 (2 -- 10),Likely decreasing,0.85 (0.65 -- 1.1),-0.041 (-0.1 -- 0.022),-17 (32 -- -6.9)
Wandsworth,9 (5 -- 17),Likely decreasing,0.93 (0.75 -- 1.1),-0.02 (-0.07 -- 0.036),-35 (19 -- -9.8)
Warrington,9 (3 -- 31),Stable,1 (0.69 -- 1.7),0.00086 (-0.09 -- 0.18),800 (3.9 -- -7.7)
Warwickshire,11 (5 -- 23),Likely decreasing,0.75 (0.54 -- 1),-0.071 (-0.14 -- 0.0068),-9.8 (100 -- -5)
West Berkshire,2 (1 -- 5),Likely decreasing,0.91 (0.75 -- 1.1),-0.025 (-0.073 -- 0.023),-28 (31 -- -9.6)
West Dunbartonshire,3 (1 -- 8),Likely decreasing,0.88 (0.65 -- 1.1),-0.035 (-0.1 -- 0.024),-20 (28 -- -6.8)
West Lothian,19 (7 -- 39),Likely decreasing,0.92 (0.7 -- 1),-0.022 (-0.088 -- 0.011),-31 (61 -- -7.9)
West Sussex,15 (8 -- 33),Likely decreasing,0.94 (0.72 -- 1.3),-0.018 (-0.081 -- 0.077),-40 (9 -- -8.5)
