region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,bottom,top,lower,upper,central_lower,central_upper
Northern Ireland,2020-11-06,,estimate based on partial data,-0.011,-0.011,0.024,,,,,,,-0.048,0.03,-0.028,0.004,-0.021,-0.009
South East,2020-09-08,,estimate,-0.011,-0.01,0.014,,,,,,,-0.032,0.013,-0.021,-0.003,-0.015,-0.008
North West,2020-10-24,,estimate,-0.01,-0.01,0.008,,,,,,,-0.024,0.002,-0.015,-0.004,-0.014,-0.01
Scotland,2020-10-25,,estimate,-0.01,-0.01,0.009,,,,,,,-0.025,0.006,-0.016,-0.004,-0.012,-0.007
Scotland,2020-10-26,,estimate,-0.01,-0.01,0.009,,,,,,,-0.025,0.006,-0.015,-0.003,-0.011,-0.007
Scotland,2020-10-23,,estimate,-0.01,-0.01,0.009,,,,,,,-0.025,0.006,-0.015,-0.003,-0.01,-0.006
Scotland,2020-10-24,,estimate,-0.01,-0.01,0.009,,,,,,,-0.024,0.006,-0.016,-0.004,-0.011,-0.006
Northern Ireland,2020-11-07,,estimate based on partial data,-0.01,-0.009,0.027,,,,,,,-0.056,0.032,-0.027,0.009,-0.02,-0.008
Northern Ireland,2020-11-14,,estimate based on partial data,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
Northern Ireland,2020-11-15,,forecast,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
Northern Ireland,2020-11-16,,forecast,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
Northern Ireland,2020-11-17,,forecast,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
Northern Ireland,2020-11-18,,forecast,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
Northern Ireland,2020-11-19,,forecast,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
Northern Ireland,2020-11-20,,forecast,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
Northern Ireland,2020-11-21,,forecast,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
Northern Ireland,2020-11-22,,forecast,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
Northern Ireland,2020-11-23,,forecast,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
Northern Ireland,2020-11-24,,forecast,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
Northern Ireland,2020-11-25,,forecast,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
Northern Ireland,2020-11-26,,forecast,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
Northern Ireland,2020-11-27,,forecast,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
Northern Ireland,2020-11-28,,forecast,-0.01,-0.007,0.056,,,,,,,-0.097,0.082,-0.05,0.019,-0.023,0.002
North East and Yorkshire,2020-11-06,,estimate based on partial data,-0.009,-0.01,0.02,,,,,,,-0.043,0.021,-0.022,0.004,-0.009,0
Scotland,2020-10-21,,estimate,-0.009,-0.009,0.009,,,,,,,-0.024,0.005,-0.015,-0.003,-0.009,-0.005
Scotland,2020-10-22,,estimate,-0.009,-0.009,0.009,,,,,,,-0.024,0.006,-0.014,-0.002,-0.012,-0.008
Scotland,2020-10-27,,estimate,-0.009,-0.009,0.01,,,,,,,-0.024,0.007,-0.015,-0.003,-0.011,-0.006
Scotland,2020-10-28,,estimate,-0.009,-0.009,0.01,,,,,,,-0.024,0.008,-0.014,-0.001,-0.01,-0.005
North West,2020-10-23,,estimate,-0.009,-0.008,0.008,,,,,,,-0.021,0.005,-0.014,-0.003,-0.013,-0.009
Scotland,2020-10-29,,estimate,-0.009,-0.008,0.01,,,,,,,-0.025,0.008,-0.014,-0.002,-0.01,-0.005
Northern Ireland,2020-11-08,,estimate based on partial data,-0.009,-0.008,0.03,,,,,,,-0.059,0.04,-0.028,0.012,-0.021,-0.006
Northern Ireland,2020-11-09,,estimate based on partial data,-0.009,-0.008,0.034,,,,,,,-0.066,0.045,-0.034,0.011,-0.016,0
Northern Ireland,2020-11-10,,estimate based on partial data,-0.009,-0.007,0.038,,,,,,,-0.067,0.057,-0.034,0.015,-0.019,-0.001
Northern Ireland,2020-11-11,,estimate based on partial data,-0.009,-0.007,0.042,,,,,,,-0.074,0.063,-0.044,0.01,-0.018,0.001
Northern Ireland,2020-11-12,,estimate based on partial data,-0.009,-0.007,0.047,,,,,,,-0.083,0.068,-0.043,0.016,-0.014,0.007
Northern Ireland,2020-11-13,,estimate based on partial data,-0.009,-0.007,0.051,,,,,,,-0.086,0.079,-0.044,0.02,-0.03,-0.007
Scotland,2020-10-20,,estimate,-0.008,-0.008,0.009,,,,,,,-0.023,0.006,-0.013,-0.002,-0.009,-0.005
Scotland,2020-10-30,,estimate,-0.008,-0.008,0.01,,,,,,,-0.025,0.007,-0.016,-0.003,-0.012,-0.007
