region,date,confirm
Free State,2021-11-10,27
Gauteng,2021-11-10,90
Kwazulu-Natal,2021-11-10,42
Limpopo,2021-11-10,11
Mpumalanga,2021-11-10,22
North-West,2021-11-10,24
Northern Cape,2021-11-10,21
Western Cape,2021-11-10,51
Eastern Cape,2021-11-11,11
Free State,2021-11-11,33
Gauteng,2021-11-11,120
Kwazulu-Natal,2021-11-11,66
Limpopo,2021-11-11,15
Mpumalanga,2021-11-11,14
North-West,2021-11-11,18
Northern Cape,2021-11-11,38
Western Cape,2021-11-11,41
Eastern Cape,2021-11-12,25
Free State,2021-11-12,40
Gauteng,2021-11-12,176
Kwazulu-Natal,2021-11-12,32
Limpopo,2021-11-12,18
Mpumalanga,2021-11-12,26
North-West,2021-11-12,17
Northern Cape,2021-11-12,39
Western Cape,2021-11-12,38
Eastern Cape,2021-11-13,17
Free State,2021-11-13,7
Gauteng,2021-11-13,122
Kwazulu-Natal,2021-11-13,35
Limpopo,2021-11-13,6
Mpumalanga,2021-11-13,14
North-West,2021-11-13,24
Northern Cape,2021-11-13,23
Western Cape,2021-11-13,41
Eastern Cape,2021-11-14,11
Free State,2021-11-14,20
Gauteng,2021-11-14,126
Kwazulu-Natal,2021-11-14,39
Limpopo,2021-11-14,3
Mpumalanga,2021-11-14,8
North-West,2021-11-14,8
Northern Cape,2021-11-14,17
Western Cape,2021-11-14,30
Eastern Cape,2021-11-15,7
Free State,2021-11-15,5
Gauteng,2021-11-15,58
Kwazulu-Natal,2021-11-15,17
Limpopo,2021-11-15,0
Mpumalanga,2021-11-15,8
North-West,2021-11-15,9
Northern Cape,2021-11-15,10
Western Cape,2021-11-15,22
Eastern Cape,2021-11-16,9
Free State,2021-11-16,19
Gauteng,2021-11-16,148
Kwazulu-Natal,2021-11-16,27
Limpopo,2021-11-16,4
Mpumalanga,2021-11-16,16
North-West,2021-11-16,12
Northern Cape,2021-11-16,7
Western Cape,2021-11-16,31
Eastern Cape,2021-11-17,23
Free State,2021-11-17,25
Gauteng,2021-11-17,332
Kwazulu-Natal,2021-11-17,37
Limpopo,2021-11-17,38
Mpumalanga,2021-11-17,15
North-West,2021-11-17,34
Northern Cape,2021-11-17,17
Western Cape,2021-11-17,45
Eastern Cape,2021-11-18,18
Free State,2021-11-18,28
Gauteng,2021-11-18,372
Kwazulu-Natal,2021-11-18,54
Limpopo,2021-11-18,19
Mpumalanga,2021-11-18,26
North-West,2021-11-18,19
Northern Cape,2021-11-18,9
Western Cape,2021-11-18,40
Eastern Cape,2021-11-19,18
Free State,2021-11-19,22
Gauteng,2021-11-19,510
Kwazulu-Natal,2021-11-19,43
Limpopo,2021-11-19,16
Mpumalanga,2021-11-19,28
North-West,2021-11-19,46
Northern Cape,2021-11-19,58
Western Cape,2021-11-19,47
Eastern Cape,2021-11-20,16
Free State,2021-11-20,9
Gauteng,2021-11-20,584
Kwazulu-Natal,2021-11-20,42
Limpopo,2021-11-20,22
Mpumalanga,2021-11-20,34
North-West,2021-11-20,26
Northern Cape,2021-11-20,106
Western Cape,2021-11-20,49
Eastern Cape,2021-11-21,8
Free State,2021-11-21,6
Gauteng,2021-11-21,545
Kwazulu-Natal,2021-11-21,31
Limpopo,2021-11-21,7
Mpumalanga,2021-11-21,18
North-West,2021-11-21,32
Northern Cape,2021-11-21,17
Western Cape,2021-11-21,23
Eastern Cape,2021-11-22,5
Free State,2021-11-22,5
Gauteng,2021-11-22,239
Kwazulu-Natal,2021-11-22,15
Limpopo,2021-11-22,9
Mpumalanga,2021-11-22,10
North-West,2021-11-22,7
Northern Cape,2021-11-22,6
Western Cape,2021-11-22,16
Eastern Cape,2021-11-23,356
Free State,2021-11-23,1350
Gauteng,2021-11-23,8099
Kwazulu-Natal,2021-11-23,1352
Limpopo,2021-11-23,715
Mpumalanga,2021-11-23,1014
North-West,2021-11-23,2506
Northern Cape,2021-11-23,180
Western Cape,2021-11-23,3014
Eastern Cape,2021-11-24,20
Free State,2021-11-24,17
Gauteng,2021-11-24,1021
Kwazulu-Natal,2021-11-24,44
Limpopo,2021-11-24,27
Mpumalanga,2021-11-24,26
North-West,2021-11-24,40
Northern Cape,2021-11-24,18
Western Cape,2021-11-24,61
Eastern Cape,2021-11-25,29
Free State,2021-11-25,29
Gauteng,2021-11-25,1951
Kwazulu-Natal,2021-11-25,68
Limpopo,2021-11-25,75
Mpumalanga,2021-11-25,55
North-West,2021-11-25,132
Northern Cape,2021-11-25,28
Western Cape,2021-11-25,98
Eastern Cape,2021-11-26,25
Free State,2021-11-26,51
Gauteng,2021-11-26,2184
Kwazulu-Natal,2021-11-26,108
Limpopo,2021-11-26,86
Mpumalanga,2021-11-26,97
North-West,2021-11-26,105
Northern Cape,2021-11-26,33
Western Cape,2021-11-26,139
Eastern Cape,2021-11-27,22
Free State,2021-11-27,35
Gauteng,2021-11-27,2629
Kwazulu-Natal,2021-11-27,110
Limpopo,2021-11-27,60
Mpumalanga,2021-11-27,97
North-West,2021-11-27,116
Northern Cape,2021-11-27,31
Western Cape,2021-11-27,121
Eastern Cape,2021-11-28,20
Free State,2021-11-28,25
Gauteng,2021-11-28,2309
Kwazulu-Natal,2021-11-28,102
Limpopo,2021-11-28,51
Mpumalanga,2021-11-28,89
North-West,2021-11-28,91
Northern Cape,2021-11-28,22
Western Cape,2021-11-28,148
Eastern Cape,2021-11-29,11
Free State,2021-11-29,21
Gauteng,2021-11-29,1909
Kwazulu-Natal,2021-11-29,63
Limpopo,2021-11-29,33
Mpumalanga,2021-11-29,53
North-West,2021-11-29,55
