region,date,confirm
Western Cape,2021-11-10,0
,2021-11-10,0
Eastern Cape,2021-11-11,5
Free State,2021-11-11,1
Gauteng,2021-11-11,4
Kwazulu-Natal,2021-11-11,0
Limpopo,2021-11-11,2
Mpumalanga,2021-11-11,0
North-West,2021-11-11,0
Northern Cape,2021-11-11,0
Western Cape,2021-11-11,5
,2021-11-11,0
Eastern Cape,2021-11-12,1
Free State,2021-11-12,9
Gauteng,2021-11-12,2
Kwazulu-Natal,2021-11-12,0
Limpopo,2021-11-12,4
Mpumalanga,2021-11-12,0
North-West,2021-11-12,0
Northern Cape,2021-11-12,0
Western Cape,2021-11-12,1
,2021-11-12,0
Eastern Cape,2021-11-13,0
Free State,2021-11-13,0
Gauteng,2021-11-13,3
Kwazulu-Natal,2021-11-13,1
Limpopo,2021-11-13,0
Mpumalanga,2021-11-13,0
North-West,2021-11-13,0
Northern Cape,2021-11-13,0
Western Cape,2021-11-13,3
,2021-11-13,0
Eastern Cape,2021-11-14,0
Free State,2021-11-14,0
Gauteng,2021-11-14,3
Kwazulu-Natal,2021-11-14,0
Limpopo,2021-11-14,0
Mpumalanga,2021-11-14,0
North-West,2021-11-14,0
Northern Cape,2021-11-14,1
Western Cape,2021-11-14,4
,2021-11-14,0
Eastern Cape,2021-11-15,1
Free State,2021-11-15,0
Gauteng,2021-11-15,0
Kwazulu-Natal,2021-11-15,0
Limpopo,2021-11-15,0
Mpumalanga,2021-11-15,2
North-West,2021-11-15,0
Northern Cape,2021-11-15,1
Western Cape,2021-11-15,1
,2021-11-15,0
Eastern Cape,2021-11-16,7
Free State,2021-11-16,4
Gauteng,2021-11-16,2
Kwazulu-Natal,2021-11-16,1
Limpopo,2021-11-16,0
Mpumalanga,2021-11-16,0
North-West,2021-11-16,0
Northern Cape,2021-11-16,1
Western Cape,2021-11-16,0
,2021-11-16,0
Eastern Cape,2021-11-17,3
Free State,2021-11-17,0
Gauteng,2021-11-17,2
Kwazulu-Natal,2021-11-17,1
Limpopo,2021-11-17,4
Mpumalanga,2021-11-17,0
North-West,2021-11-17,0
Northern Cape,2021-11-17,0
Western Cape,2021-11-17,1
,2021-11-17,0
Eastern Cape,2021-11-18,6
Free State,2021-11-18,13
Gauteng,2021-11-18,5
Kwazulu-Natal,2021-11-18,0
Limpopo,2021-11-18,8
Mpumalanga,2021-11-18,0
North-West,2021-11-18,0
Northern Cape,2021-11-18,6
Western Cape,2021-11-18,2
,2021-11-18,0
Eastern Cape,2021-11-19,4
Free State,2021-11-19,0
Gauteng,2021-11-19,1
Kwazulu-Natal,2021-11-19,2
Limpopo,2021-11-19,0
Mpumalanga,2021-11-19,0
North-West,2021-11-19,0
Northern Cape,2021-11-19,0
Western Cape,2021-11-19,0
,2021-11-19,0
Eastern Cape,2021-11-20,2
Free State,2021-11-20,0
Gauteng,2021-11-20,3
Kwazulu-Natal,2021-11-20,1
Limpopo,2021-11-20,0
Mpumalanga,2021-11-20,0
North-West,2021-11-20,0
Northern Cape,2021-11-20,0
Western Cape,2021-11-20,4
,2021-11-20,0
Eastern Cape,2021-11-21,0
Free State,2021-11-21,1
Gauteng,2021-11-21,1
Kwazulu-Natal,2021-11-21,0
Limpopo,2021-11-21,0
Mpumalanga,2021-11-21,0
North-West,2021-11-21,0
Northern Cape,2021-11-21,0
Western Cape,2021-11-21,0
,2021-11-21,0
Eastern Cape,2021-11-22,0
Free State,2021-11-22,1
Gauteng,2021-11-22,9
Kwazulu-Natal,2021-11-22,0
Limpopo,2021-11-22,0
Mpumalanga,2021-11-22,0
North-West,2021-11-22,0
Northern Cape,2021-11-22,0
Western Cape,2021-11-22,0
,2021-11-22,0
Eastern Cape,2021-11-23,1
Free State,2021-11-23,0
Gauteng,2021-11-23,0
Kwazulu-Natal,2021-11-23,5
Limpopo,2021-11-23,1
Mpumalanga,2021-11-23,0
North-West,2021-11-23,33
Northern Cape,2021-11-23,7
Western Cape,2021-11-23,4
,2021-11-23,0
Eastern Cape,2021-11-24,1
Free State,2021-11-24,11
Gauteng,2021-11-24,2
Kwazulu-Natal,2021-11-24,0
Limpopo,2021-11-24,3
Mpumalanga,2021-11-24,0
North-West,2021-11-24,0
Northern Cape,2021-11-24,2
Western Cape,2021-11-24,3
,2021-11-24,0
Eastern Cape,2021-11-25,4
Free State,2021-11-25,2
Gauteng,2021-11-25,3
Kwazulu-Natal,2021-11-25,0
Limpopo,2021-11-25,0
Mpumalanga,2021-11-25,0
North-West,2021-11-25,99
Northern Cape,2021-11-25,0
Western Cape,2021-11-25,6
,2021-11-25,0
Eastern Cape,2021-11-26,3
Free State,2021-11-26,0
Gauteng,2021-11-26,6
Kwazulu-Natal,2021-11-26,0
Limpopo,2021-11-26,0
Mpumalanga,2021-11-26,0
North-West,2021-11-26,0
Northern Cape,2021-11-26,0
Western Cape,2021-11-26,3
,2021-11-26,0
