Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Liberia,1 (0 -- 8),Likely decreasing,0.9 (0.21 -- 1.3),-0.028 (-0.26 -- 0.087),-25 (8 -- -2.7)
Libya,2011 (860 -- 5095),Increasing,1.4 (1 -- 2),0.11 (0.012 -- 0.25),6.1 (2.7 -- 57)
Liechtenstein,1 (0 -- 6),Likely decreasing,0.63 (0.14 -- 1.4),-0.11 (-0.29 -- 0.11),-6.4 (6.5 -- -2.4)
Lithuania,352 (186 -- 553),Likely decreasing,0.9 (0.67 -- 1.1),-0.028 (-0.098 -- 0.02),-24 (35 -- -7)
Luxembourg,169 (77 -- 369),Stable,0.98 (0.74 -- 1.3),-0.0046 (-0.075 -- 0.073),-150 (9.5 -- -9.3)
Madagascar,0 (0 -- 0),Likely decreasing,0.023 (2.4e-05 -- 1.2),-0.35 (-0.4 -- 0.043),-2 (16 -- -1.7)
Malawi,26 (2 -- 158),Likely decreasing,0.61 (0.18 -- 1.2),-0.11 (-0.27 -- 0.053),-6.1 (13 -- -2.5)
Malaysia,1454 (963 -- 2264),Likely decreasing,0.9 (0.77 -- 1.1),-0.029 (-0.065 -- 0.015),-24 (47 -- -11)
Maldives,153 (75 -- 324),Stable,1 (0.78 -- 1.3),0.0025 (-0.064 -- 0.086),280 (8.1 -- -11)
Mali,62 (20 -- 245),Increasing,1.5 (1 -- 2.2),0.12 (0.01 -- 0.29),5.8 (2.4 -- 66)
Malta,470 (253 -- 884),Likely increasing,1.2 (0.93 -- 1.5),0.055 (-0.018 -- 0.14),13 (5 -- -39)
Martinique,106 (1 -- 4600),Likely increasing,1.8 (0.25 -- 6.8),0.2 (-0.24 -- 1.1),3.4 (0.61 -- -2.9)
Mauritania,7 (0 -- 88),Likely decreasing,0.81 (0.33 -- 1.7),-0.055 (-0.21 -- 0.17),-13 (4.1 -- -3.3)
Mauritius,1 (0 -- 3),Likely decreasing,0.98 (0.66 -- 1.2),-0.0059 (-0.098 -- 0.056),-120 (12 -- -7.1)
