region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
São Tomé & Príncipe,1.1 (0.67 -- 1.4),1.1,1.1,0.22,0.67,1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.24
Turkey,1.1 (0.86 -- 1.4),1.1,1.1,0.17,0.86,1,1.1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.25
United Kingdom,1.1 (0.68 -- 2),1.1,1.2,0.42,0.68,0.91,1,1.2,1.4,2,Effective reproduction no.,Likely increasing,0.35
Venezuela,1.1 (1 -- 1.2),1.1,1.1,0.06,1,1.1,1.1,1.1,1.1,1.2,Effective reproduction no.,Increasing,0.028
Bermuda,1 (0.37 -- 1.4),1,0.98,0.31,0.37,0.79,0.95,1.1,1.2,1.4,Effective reproduction no.,Stable,0.45
Bosnia & Herzegovina,1 (0.79 -- 1.3),1,1,0.16,0.79,0.92,0.97,1,1.1,1.3,Effective reproduction no.,Stable,0.49
Burundi,1 (0.68 -- 1.5),1,1,0.29,0.68,0.88,0.96,1,1.1,1.5,Effective reproduction no.,Stable,0.5
Equatorial Guinea,1 (0.57 -- 1.4),1,1,0.28,0.57,0.84,0.95,1.1,1.2,1.4,Effective reproduction no.,Stable,0.48
Germany,1 (0.74 -- 1.3),1,1,0.16,0.74,0.89,0.95,1,1.1,1.3,Effective reproduction no.,Stable,0.51
Greenland,1 (0 -- 15),1,4,7,0,0,1,2,4,15,New confirmed cases by infection date,Likely decreasing,0.84
Guatemala,1 (0.76 -- 1.2),1,0.99,0.13,0.76,0.93,0.98,1,1,1.2,Effective reproduction no.,Stable,0.51
Hungary,1 (0.78 -- 1.4),1,1,0.18,0.78,0.93,0.99,1.1,1.1,1.4,Effective reproduction no.,Stable,0.42
Iran,1 (0.9 -- 1.2),1,1,0.096,0.9,0.97,1,1,1.1,1.2,Effective reproduction no.,Likely increasing,0.39
Iraq,1 (0.8 -- 1.3),1,1,0.16,0.8,0.93,0.99,1.1,1.1,1.3,Effective reproduction no.,Stable,0.41
Jordan,1 (0.93 -- 1.1),1,1,0.061,0.93,0.99,1,1,1,1.1,Effective reproduction no.,Likely increasing,0.34
Lithuania,1 (0.77 -- 1.4),1,1.1,0.19,0.77,0.93,1,1.1,1.2,1.4,Effective reproduction no.,Stable,0.4
Moldova,1 (0.88 -- 1.1),1,1,0.082,0.88,0.98,1,1.1,1.1,1.1,Effective reproduction no.,Likely increasing,0.32
Montenegro,1 (0.68 -- 1.5),1,1,0.25,0.68,0.87,0.96,1.1,1.2,1.5,Effective reproduction no.,Stable,0.47
Myanmar (Burma),1 (0.73 -- 1.3),1,1,0.19,0.73,0.89,0.96,1,1.1,1.3,Effective reproduction no.,Stable,0.5
Nicaragua,1 (0.97 -- 1.1),1,1,0.034,0.97,1,1,1,1,1.1,Effective reproduction no.,Likely increasing,0.12
Niger,1 (0.86 -- 1.2),1,1,0.14,0.86,0.97,1,1,1.1,1.2,Effective reproduction no.,Likely increasing,0.36
San Marino,1 (0 -- 15),1,4,12,0,1,1,2,4,15,New confirmed cases by infection date,Stable,0.53
Saudi Arabia,1 (0.8 -- 1.3),1,1,0.16,0.8,0.92,0.97,1,1.1,1.3,Effective reproduction no.,Stable,0.5
Somalia,1 (0.74 -- 1.4),1,1,0.21,0.74,0.94,1,1.1,1.1,1.4,Effective reproduction no.,Likely increasing,0.38
South Sudan,1 (0.68 -- 1.2),1,0.99,0.18,0.68,0.91,0.98,1,1.1,1.2,Effective reproduction no.,Stable,0.46
St. Barthélemy,1 (0 -- 35),1,13,121,0,0,0,1,4,35,New confirmed cases by infection date,Stable,0.52
St. Vincent & Grenadines,1 (0.45 -- 1.6),1,1,0.38,0.45,0.75,0.91,1.1,1.3,1.6,Effective reproduction no.,Stable,0.5
Turks & Caicos Islands,1 (0.73 -- 1.5),1,1,0.26,0.73,0.9,0.97,1,1.1,1.5,Effective reproduction no.,Stable,0.49
Colombia,0.99 (0.89 -- 1.1),0.99,0.99,0.065,0.89,0.95,0.98,1,1,1.1,Effective reproduction no.,Stable,0.56
Cyprus,0.99 (0.71 -- 1.4),0.99,1,0.21,0.71,0.87,0.94,1,1.1,1.4,Effective reproduction no.,Stable,0.53
Trinidad & Tobago,0.99 (0.85 -- 1.1),0.99,0.98,0.075,0.85,0.95,0.98,1,1,1.1,Effective reproduction no.,Likely decreasing,0.6
U.S. Virgin Islands,0.99 (0.76 -- 1.3),0.99,1,0.18,0.76,0.91,0.96,1,1.1,1.3,Effective reproduction no.,Stable,0.55
Belarus,0.98 (0.88 -- 1.1),0.98,0.98,0.063,0.88,0.95,0.97,1,1,1.1,Effective reproduction no.,Likely decreasing,0.63
Ireland,0.98 (0.83 -- 1.2),0.98,0.99,0.1,0.83,0.92,0.96,1,1,1.2,Effective reproduction no.,Stable,0.59
North Macedonia,0.98 (0.58 -- 1.7),0.98,1,0.34,0.58,0.79,0.9,1.1,1.2,1.7,Effective reproduction no.,Stable,0.53
Peru,0.98 (0.91 -- 1.1),0.98,0.99,0.062,0.91,0.95,0.97,0.99,1,1.1,Effective reproduction no.,Likely decreasing,0.64
San Marino,0.98 (0.55 -- 2),0.98,1.1,0.53,0.55,0.79,0.9,1.1,1.2,2,Effective reproduction no.,Stable,0.53
Sint Maarten,0.98 (0.6 -- 1.5),0.98,1,0.31,0.6,0.83,0.92,1.1,1.2,1.5,Effective reproduction no.,Stable,0.52
Bolivia,0.97 (0.89 -- 1.1),0.97,0.99,0.086,0.89,0.93,0.95,0.98,1,1.1,Effective reproduction no.,Likely decreasing,0.68
Botswana,0.97 (0.63 -- 1.3),0.97,0.97,0.25,0.63,0.86,0.93,1,1,1.3,Effective reproduction no.,Likely decreasing,0.62
Guernsey,0.97 (0.72 -- 1.2),0.97,0.97,0.17,0.72,0.88,0.93,1,1.1,1.2,Effective reproduction no.,Likely decreasing,0.6
Luxembourg,0.97 (0.59 -- 1.5),0.97,0.98,0.27,0.59,0.82,0.91,1,1.1,1.5,Effective reproduction no.,Stable,0.57
Pakistan,0.97 (0.69 -- 1.4),0.97,1,0.23,0.69,0.84,0.92,1,1.1,1.4,Effective reproduction no.,Stable,0.56
St. Barthélemy,0.97 (0.19 -- 2.8),0.97,1.2,0.95,0.19,0.58,0.81,1.2,1.5,2.8,Effective reproduction no.,Stable,0.52
Brazil,0.96 (0.85 -- 1.1),0.96,0.96,0.069,0.85,0.93,0.95,0.97,0.99,1.1,Effective reproduction no.,Likely decreasing,0.81
French Guiana,0.96 (0.59 -- 1.2),0.96,0.93,0.2,0.59,0.83,0.92,1,1,1.2,Effective reproduction no.,Stable,0.59
Italy,0.96 (0.72 -- 1.3),0.96,0.97,0.17,0.72,0.86,0.92,1,1.1,1.3,Effective reproduction no.,Stable,0.59
Denmark,0.95 (0.58 -- 1.4),0.95,0.97,0.26,0.58,0.8,0.89,1,1.1,1.4,Effective reproduction no.,Stable,0.57
Ecuador,0.95 (0.79 -- 1.2),0.95,0.97,0.14,0.79,0.91,0.93,0.96,1,1.2,Effective reproduction no.,Likely decreasing,0.72
Kyrgyzstan,0.95 (0.71 -- 1.2),0.95,0.95,0.15,0.71,0.86,0.92,0.98,1,1.2,Effective reproduction no.,Likely decreasing,0.66
Réunion,0.95 (0.69 -- 1.4),0.95,0.99,0.32,0.69,0.86,0.93,0.98,1,1.4,Effective reproduction no.,Likely decreasing,0.66
Thailand,0.95 (0.86 -- 1.1),0.95,0.96,0.062,0.86,0.92,0.94,0.97,0.99,1.1,Effective reproduction no.,Likely decreasing,0.79
Costa Rica,0.94 (0.82 -- 1.1),0.94,0.94,0.083,0.82,0.89,0.92,0.96,0.99,1.1,Effective reproduction no.,Likely decreasing,0.78
Kazakhstan,0.94 (0.86 -- 1),0.94,0.94,0.054,0.86,0.91,0.93,0.95,0.97,1,Effective reproduction no.,Likely decreasing,0.88
Syria,0.94 (0.44 -- 1.5),0.94,0.95,0.32,0.44,0.73,0.87,1,1.1,1.5,Effective reproduction no.,Stable,0.58
Yemen,0.94 (0.7 -- 1.2),0.94,0.95,0.17,0.7,0.85,0.9,0.98,1,1.2,Effective reproduction no.,Likely decreasing,0.66
Guyana,0.93 (0.7 -- 1.2),0.93,0.93,0.14,0.7,0.84,0.89,0.96,1,1.2,Effective reproduction no.,Likely decreasing,0.72
Bahamas,0.92 (0.7 -- 1.1),0.92,0.92,0.13,0.7,0.84,0.9,0.95,1,1.1,Effective reproduction no.,Likely decreasing,0.76
Ethiopia,0.92 (0.63 -- 1.3),0.92,0.94,0.22,0.63,0.79,0.87,0.97,1.1,1.3,Effective reproduction no.,Likely decreasing,0.66
Honduras,0.92 (0.67 -- 1.1),0.92,0.91,0.13,0.67,0.86,0.9,0.94,0.97,1.1,Effective reproduction no.,Likely decreasing,0.85
Lebanon,0.92 (0.71 -- 1.2),0.92,0.93,0.15,0.71,0.84,0.89,0.95,1,1.2,Effective reproduction no.,Likely decreasing,0.73
Madagascar,0.92 (0.079 -- 1.4),0.92,0.83,0.41,0.079,0.61,0.86,0.96,1,1.4,Effective reproduction no.,Likely decreasing,0.68
Panama,0.92 (0.84 -- 1),0.92,0.93,0.063,0.84,0.89,0.91,0.93,0.96,1,Effective reproduction no.,Likely decreasing,0.89
Antigua & Barbuda,0.91 (0.44 -- 1.4),0.91,0.91,0.3,0.44,0.73,0.85,0.98,1.1,1.4,Effective reproduction no.,Likely decreasing,0.64
Mexico,0.9 (0.78 -- 1),0.9,0.9,0.074,0.78,0.86,0.89,0.92,0.95,1,Effective reproduction no.,Likely decreasing,0.92
Algeria,0.89 (0.64 -- 1.3),0.89,0.92,0.22,0.64,0.79,0.85,0.93,1,1.3,Effective reproduction no.,Likely decreasing,0.72
Aruba,0.89 (0.48 -- 1.5),0.89,0.92,0.31,0.48,0.71,0.82,0.95,1.1,1.5,Effective reproduction no.,Likely decreasing,0.67
Libya,0.89 (0.55 -- 1.3),0.89,0.91,0.24,0.55,0.78,0.85,0.94,1,1.3,Effective reproduction no.,Likely decreasing,0.74
Paraguay,0.89 (0.78 -- 1),0.89,0.9,0.078,0.78,0.85,0.88,0.91,0.94,1,Effective reproduction no.,Likely decreasing,0.91
Qatar,0.89 (0.71 -- 1.1),0.89,0.89,0.11,0.71,0.82,0.86,0.91,0.95,1.1,Effective reproduction no.,Likely decreasing,0.86
