source,region,date,strat,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
united-kingdom,East of England,2021-01-03,,0.868684187546624,0.867446130876071,0.0290386279683829,0.818895246627071,0.849448739240924,0.861636787477359,0.87559797849484,0.887233663689373,0.912482499335426
united-kingdom,East of England,2021-01-04,,0.856223098488154,0.854875268837135,0.028912486387662,0.804825392684517,0.836802038225913,0.848755637235193,0.863416580682141,0.874925567435686,0.899615053640962
united-kingdom,East of England,2021-01-05,,0.846142419079753,0.844642406880624,0.0286234749689885,0.795962724281216,0.826441799081579,0.838878749333328,0.853300567106317,0.864348351694842,0.889081846526702
united-kingdom,East of England,2021-01-06,,0.838036191267962,0.836666136360855,0.0282268029151937,0.788084638689798,0.818730406858221,0.831011119216249,0.845096576201873,0.855844487604582,0.880147735394003
united-kingdom,East of England,2021-01-07,,0.832087405883865,0.830780203544251,0.0278046107364514,0.782574057986075,0.812942461673753,0.825440538440516,0.839223622529769,0.849515144160996,0.873786098750256
united-kingdom,East of England,2021-01-08,,0.828036482586717,0.826754262205249,0.0274345710831986,0.779431424606318,0.809176229869264,0.820919043888946,0.834544012482904,0.845165935303223,0.870048643023555
united-kingdom,East of England,2021-01-09,,0.825169399729353,0.824316052783048,0.027174653878406,0.778641719773339,0.807268242526428,0.81871220393063,0.831309702689151,0.842430993826532,0.867950961995516
united-kingdom,East of England,2021-01-10,,0.823771596126502,0.823172812494027,0.0270586762284487,0.777740032480784,0.805791323652058,0.817165204841914,0.830122333023039,0.840911310560486,0.86716902183172
united-kingdom,East of England,2021-01-11,,0.823283159849614,0.823029892079763,0.027092709216269,0.77757950183066,0.805730890939639,0.816602616748976,0.830008361629532,0.840672912141128,0.8662178463756
united-kingdom,East of England,2021-01-12,,0.823980266831112,0.823605155074417,0.0272511571100804,0.77849901707415,0.806406992310131,0.816952938552918,0.830156767076115,0.841007637756425,0.867880910185843
united-kingdom,East of England,2021-01-13,,0.824611865737907,0.824638528224066,0.0274820716922046,0.781168911260368,0.806957218934008,0.817706125101413,0.830958424127207,0.841881358215987,0.868852531440629
united-kingdom,East of England,2021-01-14,,0.825411310576925,0.825896740688748,0.0277277028280119,0.782537809174461,0.807928262971796,0.8187362569385,0.831803196229283,0.843178683124064,0.872155021526228
united-kingdom,East of England,2021-01-15,,0.826685352845045,0.827173741139719,0.0279512788942653,0.783343738556143,0.80858197662382,0.819732499997446,0.833036133636005,0.844820762351974,0.874117957855415
united-kingdom,East of England,2021-01-16,,0.827684369906358,0.82828766762505,0.028152515663222,0.784000819115923,0.809446028648869,0.821034583468169,0.834871000104061,0.84602906146897,0.87497243510908
united-kingdom,East of England,2021-01-17,,0.828666478288936,0.82907570992851,0.0283608161313894,0.784908741206142,0.809476017080298,0.821264947398354,0.835471983442761,0.846746283593947,0.876984868892901
united-kingdom,East of England,2021-01-18,,0.828401336106864,0.829388667732459,0.0286095516780397,0.785234799151173,0.81010381388226,0.821618424052157,0.835785781388812,0.847468788614874,0.877425716474264
united-kingdom,East of England,2021-01-19,,0.827895008101236,0.829087201403609,0.0289065959007589,0.783698443582788,0.809434289843691,0.821026213530086,0.835336286517429,0.847236902911046,0.878991340021121
united-kingdom,East of England,2021-01-20,,0.826776033408849,0.828041455383685,0.0292186264204892,0.78178516091269,0.808432068692722,0.820021347452629,0.834418197698296,0.84592321293735,0.877737916860429
united-kingdom,East of England,2021-01-21,,0.824858075724677,0.826134878900989,0.0294788881114686,0.780066312226247,0.80657098976146,0.817961559514684,0.832296486434483,0.844111089137214,0.875922308450043
united-kingdom,East of England,2021-01-22,,0.822133202479321,0.823271888763674,0.0296166474481617,0.776346010229636,0.803683448411187,0.814886224069665,0.828883022600251,0.841862999343665,0.873487081252456
united-kingdom,East of England,2021-01-23,,0.818344115001005,0.819387873410592,0.0295999225563025,0.772817847923527,0.799601134750944,0.810789317974867,0.825165201349819,0.83835487211232,0.86916302682933
united-kingdom,East of England,2021-01-24,,0.813587749092895,0.814459288902219,0.0294827442505308,0.768823000961226,0.794739730749645,0.80656390814667,0.820068965158388,0.83314891858639,0.865718515703831
united-kingdom,East of England,2021-01-25,,0.807788594147274,0.808511477259141,0.0294476893282743,0.762199307933653,0.78918365023451,0.800653161021631,0.814269357079192,0.826586787259967,0.859036694325369
united-kingdom,East of England,2021-01-26,,0.801148292589648,0.801622348803816,0.0298256910929696,0.753502752456491,0.782121525836643,0.793807902865202,0.808100697044208,0.820828024545071,0.851971706828326
united-kingdom,East of England,2021-01-27,,0.793615489660043,0.79392098275146,0.0310594170772205,0.743215484158295,0.773343281243003,0.785545246768468,0.800799416621661,0.814533396126169,0.845347783173365
united-kingdom,East of England,2021-01-28,,0.784921684561969,0.785581173493451,0.0335847186891772,0.730655447082031,0.76280033147118,0.776740760798132,0.793386609147376,0.808092186203557,0.84108771488415
united-kingdom,East of England,2021-01-29,,0.776163509304261,0.776810725000086,0.0376785160310938,0.715515458485834,0.75113185728865,0.76670927115355,0.78568485391351,0.802539366235027,0.838235664463242
united-kingdom,East of England,2021-01-30,,0.767000505861593,0.767837805833297,0.0433893715221861,0.697162316682161,0.738414240823934,0.756349144078898,0.777964373166562,0.797558299239311,0.839008467781443
united-kingdom,East of England,2021-01-31,,0.757789150897704,0.758895982032065,0.0505915470595589,0.675197637166278,0.724999406499933,0.745334880532515,0.771859328958436,0.793266039689063,0.842507280029391
united-kingdom,England,2020-10-19,,0.962769189644342,0.960908015754566,0.0807763609727405,0.82563876511772,0.907208213422618,0.940460005364777,0.981402507855772,1.01450526729863,1.09151806713772
united-kingdom,England,2020-10-20,,0.974485491120183,0.972978500385959,0.0699712719985897,0.855245718878016,0.927056795936192,0.955929013353144,0.9910809016026,1.01896403633861,1.08687766918168
united-kingdom,England,2020-10-21,,0.986514234374414,0.985899536645646,0.0601883294441868,0.884622033926384,0.946428761811067,0.971994554695965,1.00073352852402,1.02645795434858,1.0850431263646
united-kingdom,England,2020-10-22,,0.999734270712813,0.999332516363033,0.0515455736490209,0.913303349276652,0.964833870199587,0.987876841859029,1.01234135106993,1.03403549029919,1.08271816844143
united-kingdom,England,2020-10-23,,1.01341569309008,1.01285296336576,0.0442128089731678,0.940073237303869,0.983469360555596,1.00252470386296,1.02464896906859,1.04290967407884,1.08417674421242
united-kingdom,England,2020-10-24,,1.02683637970646,1.02595878630218,0.0384184084272493,0.96266072442112,0.999588011291694,1.01672085389843,1.03661152385629,1.05265524174593,1.08697114763848
united-kingdom,England,2020-10-25,,1.03839071746054,1.03808621996906,0.0343884253863318,0.981404695036461,1.01502869813986,1.02963014314109,1.04772333276328,1.06181730565913,1.09270789516495
united-kingdom,England,2020-10-26,,1.04846679028646,1.04863460771143,0.0321876750790192,0.995938516480056,1.02747046955763,1.0405279808784,1.05672428286958,1.07028295542842,1.10026824731252
united-kingdom,England,2020-10-27,,1.05642738020713,1.05700019065861,0.0315609967005512,1.00741410024425,1.03549058707763,1.04838316835532,1.06436580028837,1.07721097594265,1.1094801297855
united-kingdom,England,2020-10-28,,1.06161043614093,1.06261726142447,0.0319700185050815,1.01302778570381,1.04076241265052,1.05325592339312,1.06907161735721,1.08305395833841,1.11705652836799
united-kingdom,England,2020-10-29,,1.06265378062001,1.06500295100283,0.0328179465598879,1.01531046509373,1.04232332856632,1.05486292716503,1.07104865300036,1.08578135736723,1.12095422325021
united-kingdom,England,2020-10-30,,1.06182373260938,1.06380038575191,0.0336411036379816,1.01379244856597,1.04016888669903,1.05351624993149,1.07031086284472,1.08474872456103,1.12121603878905
united-kingdom,England,2020-10-31,,1.05688798854371,1.05881462427683,0.0341593640458984,1.00696700691482,1.03533130634852,1.04847718227257,1.06559514342694,1.07983011618137,1.11686702085683
united-kingdom,England,2020-11-01,,1.0482366977799,1.05003672601504,0.0342379438510848,0.997122473694954,1.02716658947701,1.03965065891359,1.05686438179354,1.07151824258083,1.10867493096789
